Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
13-Nov-17,503,506.75,496.65,498,6380726,3186626383
14-Nov-17,499.75,504.9,494.8,498.15,5812236,2899987128
15-Nov-17,498,499,483.5,486.75,8734007,4288384053
16-Nov-17,489,494.9,481.15,489.9,9627427,4713954003
17-Nov-17,495,505.95,491.05,493.5,10556190,5260880461
20-Nov-17,494.15,496.7,489,492.65,5231236,2578166397
21-Nov-17,495.3,509.25,494.5,503.25,9091201,4578917892
22-Nov-17,504.5,507.5,495.45,499.1,3263924,1632053757
23-Nov-17,503,507,493.5,496.35,5334161,2671464064
24-Nov-17,497,501.25,495,496.8,3514919,1753024112
27-Nov-17,495.9,499.8,491,498,3154345,1561181512
28-Nov-17,497.95,497.95,490.2,492,3016416,1489131946
29-Nov-17,492,497.25,490,495.75,5315769,2625986399
30-Nov-17,492.35,499.4,490.8,496.45,13410289,6648830052
01-Dec-17,498.9,498.9,481.85,484.15,5522454,2702720257
04-Dec-17,485,492,482.5,484.3,2740000,1337424964
05-Dec-17,485.65,491.95,476.85,490.65,3843203,1871671160
06-Dec-17,486.5,493,479,483.45,7508821,3640478072
07-Dec-17,485,518.5,484.2,514.7,6263169,3131575553
08-Dec-17,515.15,530.85,515.1,525.15,12795236,6717011018
11-Dec-17,530.8,538,524.35,532.7,11156171,5927556479
12-Dec-17,533.1,533.9,520.55,523.85,3267323,1716101618
13-Dec-17,528,533,514.2,517.35,7138671,3752949186
14-Dec-17,517.9,525,511,520.3,3019435,1560991112
15-Dec-17,527.8,529.85,514.75,517.95,6296789,3286497644
18-Dec-17,505.1,531.8,495.1,526.25,9429700,4908688067
19-Dec-17,526.75,540.2,520.2,536.6,6192288,3277693203
20-Dec-17,540,540.85,526.45,528.9,6754525,3604114758
21-Dec-17,528.5,531.75,522,524.1,5093541,2679151764
22-Dec-17,526.9,538.95,523.45,528.55,8548170,4547755186
26-Dec-17,531,546.4,525.25,542.95,5801051,3107961679
27-Dec-17,544.5,547.5,530.6,534.65,6038567,3260854328
28-Dec-17,534.5,537.55,530.1,531.35,7840192,4177930352
29-Dec-17,531.8,538.45,522,529.65,6761280,3593440523
01-Jan-18,531,538.1,525.4,527.9,4333190,2307486230
01-Jan-18,531,538.1,525.4,527.9,4333190,2307486230
02-Jan-18,532.9,532.9,511.85,516.55,4724570,2463556274
03-Jan-18,519.15,525.5,514.75,518.2,5707905,2975947484
04-Jan-18,519,527.2,514.5,523,5366018,2794101405
05-Jan-18,525,542.5,518.55,540,7218024,3855251256
08-Jan-18,534.15,534.15,514.2,516.35,11074508,5756512301
09-Jan-18,518,521.05,504.7,509.8,6796613,3481252368
10-Jan-18,515,517.5,504.3,506.4,6008949,3064895821
11-Jan-18,508,516.7,503.2,514.75,5322546,2727794913
12-Jan-18,516,517.35,504.5,509.55,4369137,2228090353
15-Jan-18,509.8,511.95,502.45,504.5,2554677,1294990048
